month_id,access_method_num,imei,imsi,imsi_sim2fly,subscription_identifier,start_of_month
2020-11,NULL,NULL,+9QHENimCv1SsunMJreb4RR.XEKrAP9TTgWtb8U1m78PLCtf9wnb6U6Jqndoo.iQ,GD6b1oNK8djBYp5K91Wg05TMlhhR6J6t9MMUMp30.Th29GdWSv7C7VD8T5c0r2Pd,NULL,202011
2020-11,NULL,NULL,+9mkRIAp5zEvQ9tRZc0AqouJ4rD78cagMfv8VmontJHc4VDruLUNetpmALQBXvBs,Gn7xcq6mHaqhK1EccKZkC67tPKg4Sxv.00elfZ4aVdukSYYIkfO4t4QO19iMMRDm,NULL,202011
2020-11,NULL,NULL,#NAME?,GutqYmH8P9YVWyuHVhP1FB.i+XlRfvAZgp1KCOPxHMsHnjAipvRxemLZgrHbRNG.,NULL,202011
2020-11,NULL,NULL,#NAME?,HN8XnIYyG.KqWfuv8jlKhNrSSPbLBHJzCqw.6j8U48wuMtcz4R8InzC8iIOY0YgF,NULL,202011
2020-11,NULL,NULL,#NAME?,HpmzzSFa1Os3TGt1gBFLCZ.A6.1H4Yfwwavbc4TZXpqtJivDZsi6qbrAmNEP5+SZ,NULL,202011
2020-11,NULL,NULL,#NAME?,JICHcqs93cLVUVVkM9PHadJaqDdgBbIZujaJwi0Me7H5DMTodmyJ3likjKPPBik.,NULL,202011
2020-11,NULL,NULL,+D1IQ89B76RVYUqA4MaKU8+HsAfHois6Q6.9FghKY3CfHOuXvj4ySvKSv+0bFCN0,KS71erBSkyB28X.N2BwE2eC.rXvmUvbO1VHJRj5BXRGQXnh1SbWrEyyK0Rf9FNhg,NULL,202011
2020-11,NULL,NULL,#NAME?,Khm9Zua33vnYUQsy.HR5ycQpcaGZxd5WNGzFOOKgSuz+tXs7SWd5phXc4yyFLbyO,NULL,202011
2020-11,NULL,NULL,#NAME?,MRdmdiCvoiWKvxTr+.o1ucAV.e1h4DDKpljgjaCY8iWBNnXkBlt5+ecE2GT.tLr+,NULL,202011
2020-11,NULL,NULL,#NAME?,NyV3h1u9jPkm+PKF.dT.boPduSdAaZzpTjr13W7b7eXE6b0xYm1I3jhG1UXW50+Y,NULL,202011
