cc,ndc,operator_name,plmn_name,country_name,data_date,execution_id,ld_year,ld_month,ld_day
1,6475803,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,6475802,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,647580,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,6475800,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,5875884,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,5875883,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,5875882,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,587588,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,5875880,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,5875804,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,5875803,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,5875802,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,587580,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,5875800,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385884,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385883,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385882,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,438588,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385880,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385804,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385803,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385802,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,438580,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385800,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,705796,ROGERS COMMUNICATIONS CANADA,CANRW,CANADA,NULL,NULL,2021,3,1
1,90278,BELL MOBILITY,CANBM,CANADA,NULL,NULL,2021,3,1
1,647384,BELL MOBILITY,CANBM,CANADA,NULL,NULL,2021,3,1
1,647383,BELL MOBILITY,CANBM,CANADA,NULL,NULL,2021,3,1
1,604348,BELL MOBILITY,CANBM,CANADA,NULL,NULL,2021,3,1
1,438276,BELL MOBILITY,CANBM,CANADA,NULL,NULL,2021,3,1
1,403408,BELL MOBILITY,CANBM,CANADA,NULL,NULL,2021,3,1
1,939404400,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,8686880570,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688057,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688056,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688055,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688054,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880539,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880538,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880537,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880536,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880535,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880534,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880533,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880532,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880529,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880528,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880527,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880526,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880525,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880524,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880523,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880522,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688052,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688005,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688004,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880039,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880038,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
20,10,VODAFONE EGYPT TELECOMMUNICATIONS S.A.E.,EGYMS,EGYPT,NULL,NULL,2021,3,1
20,12,ORANGE EGYPT FOR TELECOMMUNICATIONS,EGYAR,EGYPT,NULL,NULL,2021,3,1
211,92,MTN SOUTH SUDAN,SSDMN,SOUTH SUDAN,NULL,NULL,2021,3,1
212,640890,WANA CORPORATE,MARM3,MOROCCO,NULL,NULL,2021,3,1
212,661,MAROC TELECOM,MARM1,MOROCCO,NULL,NULL,2021,3,1
212,699790,WANA CORPORATE,MARM3,MOROCCO,NULL,NULL,2021,3,1
212,699791,WANA CORPORATE,MARM3,MOROCCO,NULL,NULL,2021,3,1
212,602790,WANA CORPORATE,MARM3,MOROCCO,NULL,NULL,2021,3,1
216,98,TUNISIE TELECOM,TUNTT,TUNISIA,NULL,NULL,2021,3,1
216,50,ORANGE TUNISIE,TUNK5,TUNISIA,NULL,NULL,2021,3,1
216,43000,TUNISIE TELECOM,TUNTT,TUNISIA,NULL,NULL,2021,3,1
220,3,QCELL LIMITED,GMBQC,GAMBIA,NULL,NULL,2021,3,1
223,760,ORANGE MALI SA,MLIK8,MALI,NULL,NULL,2021,3,1
224,62080,ORANGE GUINEA,GINK9,GUINEA,NULL,NULL,2021,3,1
225,1,ATLANTIQUE TELECOM COTE-D IVOIRE,CIVK9,IVORY COAST,NULL,NULL,2021,3,1
225,3,ATLANTIQUE TELECOM COTE-D IVOIRE,CIVK9,IVORY COAST,NULL,NULL,2021,3,1
226,76,ORANGE BURKINA FASO S.A.,BFACT,BURKINA FASO,NULL,NULL,2021,3,1
228,4,TOGO CELLULAIRE,TGOK8,TOGO,NULL,NULL,2021,3,1
228,99,MOOV TOGO,TGOK9,TOGO,NULL,NULL,2021,3,1
230,72,EMTEL ,MUSEM,MAURITIUS,NULL,NULL,2021,3,1
230,25,ORANGE MAURITIUS,MUSCP,MAURITIUS,NULL,NULL,2021,3,1
231,7,ORANGE LIBERIA,LBR07,LIBERIA,NULL,NULL,2021,3,1
233,23,GLO MOBILE GHANA,GHAK9,GHANA,NULL,NULL,2021,3,1
233,26,AIRTELTIGO GHANA,GHAMT,GHANA,NULL,NULL,2021,3,1
233,57,AIRTELTIGO GHANA,GHAMT,GHANA,NULL,NULL,2021,3,1
233,27,AIRTELTIGO GHANA,GHAMT,GHANA,NULL,NULL,2021,3,1
233,54,SCANCOM LIMITED (MTN),GHASC,GHANA,NULL,NULL,2021,3,1
